ENTIDAD_RES,2020-01-13,2020-01-29,2020-02-06,2020-02-19,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,7,9,13,15,18,18,23,32,37,42,46,52,54,57,60,60,61,63,64,64,66,70,73,75,78,83,89,95,103,116,127,137,148,164,171,190,196,207,225,237,247,258,291,303,320,344,354,375,387,410,432,441,460,471,478,498,529,543,564,585,606,621,638,660,681,718,750,781,804,834,878,924,955,998,1033,1072,1112,1189,1248,1284,1320,1383,1444,1491,1562,1611,1671,1709,1756,1802,1862,1942,2003,2054,2112,2156,2206,2254,2321,2363,2410,2455,2494,2543,2585,2640,2698,2776,2830,2871,2913,2983,3058,3125,3181,3232,3297,3354,3415,3489,3561,3629,3666,3728,3779,3832,3896,3949,4002,4060,4107,4157,4201,4263,4310,4361,4404,4439,4500,4535,4594,4642,4672,4702,4740,4793,4841,4913,4960,5012,5050,5131,5206,5259,5326,5372,5423,5469,5504,5536,5566,5595,5618,5625,5630,5631,5631
Baja California,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,6,10,13,16,21,26,37,47,62,68,74,92,112,132,156,183,208,245,287,320,373,437,486,538,582,637,690,767,850,962,1038,1128,1200,1288,1366,1437,1529,1610,1704,1825,1903,2006,2078,2151,2248,2344,2435,2525,2596,2708,2869,2999,3096,3206,3304,3416,3525,3670,3767,3918,4035,4155,4281,4388,4571,4683,4805,4969,5108,5263,5424,5579,5684,5804,5939,6045,6154,6271,6379,6477,6605,6772,6904,7030,7140,7294,7432,7560,7713,7877,8035,8160,8303,8425,8553,8758,8896,9050,9166,9322,9536,9675,9811,9985,10124,10309,10460,10587,10708,10885,11066,11265,11389,11535,11647,11819,11970,12124,12307,12416,12553,12672,12786,12906,13015,13162,13276,13393,13503,13614,13764,13869,13969,14051,14163,14265,14355,14465,14553,14644,14747,14848,14964,15051,15163,15271,15372,15443,15532,15636,15736,15854,15949,16032,16110,16205,16282,16377,16475,16560,16629,16680,16738,16786,16825,16854,16865,16872,16875,16875,16875
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,5,6,7,7,8,12,17,22,24,29,35,43,53,57,72,84,102,118,138,158,178,191,197,205,211,223,235,245,253,260,266,271,278,289,295,309,310,322,327,337,346,350,353,356,361,372,388,394,401,407,423,428,439,448,453,464,471,483,497,509,522,532,546,563,570,589,595,608,626,646,660,680,696,712,732,750,760,789,826,856,886,906,940,980,1021,1055,1096,1130,1149,1187,1215,1262,1292,1324,1371,1402,1449,1482,1520,1566,1614,1678,1729,1767,1820,1894,1988,2082,2147,2213,2294,2360,2486,2589,2689,2783,2897,2987,3090,3200,3299,3397,3473,3567,3654,3767,3912,4011,4098,4194,4315,4424,4560,4684,4800,4894,4997,5097,5230,5356,5471,5586,5692,5800,5889,5979,6079,6220,6323,6421,6523,6612,6696,6804,6908,7007,7066,7165,7227,7279,7388,7464,7540,7604,7623,7624,7624
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,6,6,8,8,9,11,11,13,14,15,16,21,23,24,26,27,31,32,36,42,44,49,51,56,60,64,68,74,84,89,98,104,113,124,129,141,145,155,165,182,197,207,226,244,257,264,280,297,321,347,369,382,398,414,436,460,477,495,523,549,577,610,627,668,688,708,729,755,785,812,861,886,929,957,1012,1064,1118,1178,1230,1316,1379,1455,1540,1597,1700,1773,1844,1935,2023,2132,2193,2264,2337,2415,2484,2573,2632,2702,2768,2840,2964,3051,3137,3209,3283,3352,3427,3502,3576,3700,3788,3857,3929,4007,4118,4187,4253,4317,4382,4465,4514,4567,4614,4667,4735,4779,4829,4880,4915,4946,4966,5030,5064,5092,5117,5140,5158,5175,5203,5226,5260,5284,5307,5323,5348,5391,5414,5438,5459,5483,5517,5538,5549,5560,5568,5577,5582,5584,5586,5586
Chiapas,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,5,7,10,14,15,19,19,22,26,27,29,31,33,35,39,43,45,47,52,56,58,60,66,69,77,83,92,105,112,122,129,149,155,169,184,195,215,229,243,265,290,316,343,376,399,429,465,490,518,566,625,689,744,805,870,933,1012,1097,1154,1272,1354,1454,1554,1654,1791,1896,2034,2155,2247,2366,2485,2588,2693,2832,2926,3013,3112,3235,3352,3453,3551,3620,3738,3809,3908,4006,4082,4192,4259,4311,4366,4446,4538,4602,4676,4747,4802,4854,4916,4962,5021,5076,5131,5167,5209,5244,5278,5320,5337,5367,5389,5428,5471,5487,5510,5548,5564,5592,5616,5635,5653,5672,5698,5717,5734,5750,5768,5784,5807,5815,5832,5853,5876,5906,5939,5958,5976,5993,6012,6035,6049,6070,6084,6093,6102,6113,6129,6148,6180,6195,6209,6216,6226,6238,6249,6255,6260,6264,6265,6266,6266,6267,6267
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,8,10,13,15,16,17,21,25,31,33,42,49,54,64,72,86,101,110,118,132,146,162,185,209,234,255,276,295,332,369,416,464,502,564,602,658,709,772,840,878,933,984,1032,1094,1170,1238,1290,1350,1405,1461,1524,1588,1651,1735,1804,1853,1916,1987,2055,2117,2174,2249,2317,2398,2460,2516,2572,2623,2678,2723,2779,2837,2898,2938,2983,3042,3091,3132,3167,3224,3275,3320,3377,3419,3471,3507,3542,3585,3626,3688,3732,3764,3802,3851,3920,3955,4012,4048,4085,4148,4206,4253,4315,4384,4454,4552,4617,4686,4742,4810,4897,4959,5028,5082,5180,5251,5316,5404,5468,5563,5624,5715,5788,5851,5955,6027,6103,6147,6228,6299,6370,6445,6505,6567,6635,6695,6770,6835,6908,6959,7022,7087,7162,7225,7266,7341,7390,7435,7469,7502,7548,7575,7608,7636,7655,7678,7686,7696,7700,7703,7708,7708,7710,7710,7710
CdMx,0,0,0,0,0,1,2,3,3,3,4,6,7,9,13,15,18,20,26,35,40,59,81,100,115,147,180,215,257,280,305,338,391,411,440,487,533,580,660,718,779,831,934,1007,1133,1241,1345,1466,1594,1746,1893,2051,2228,2521,2724,2934,3215,3480,3832,4141,4496,4879,5222,5823,6181,6550,6944,7403,7869,8279,8822,9301,9692,10252,11120,11654,12205,12951,13632,14240,14901,15677,16325,17273,18090,18828,19488,20118,21094,21813,22509,23535,24230,25397,26045,26836,27529,28187,29291,30037,30760,31582,32338,33052,33743,35070,35837,36554,37334,38247,39029,39627,40478,41112,42142,42806,43549,44150,44661,45584,46234,46796,47532,48254,49253,49759,50458,51104,51729,52542,53365,53903,54594,55399,56225,57314,58050,58834,59420,60089,60816,61545,62256,62944,64176,64775,65447,66411,67151,68311,69057,70032,70831,71470,72861,73714,74480,75276,76083,76918,77515,78452,79228,79896,80636,81295,82359,82933,83707,84369,85169,85789,86612,87261,87754,88923,89695,90430,91083,91849,92682,93218,94038,94807,95428,96268,96862,97238,97538,97932,98173,98353,98428,98447,98450
Coahuila,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,6,9,13,15,20,26,29,39,46,55,69,89,103,118,142,154,171,182,194,210,216,232,247,257,266,281,291,300,316,327,343,356,366,380,385,402,416,426,439,450,465,478,489,502,514,536,562,579,588,603,633,656,676,701,728,747,775,803,826,850,893,944,987,1043,1083,1128,1184,1236,1302,1342,1400,1462,1503,1583,1679,1726,1775,1889,1955,2036,2123,2217,2336,2421,2554,2693,2814,2919,3038,3167,3326,3520,3694,3871,4069,4250,4446,4670,4955,5153,5380,5574,5899,6102,6327,6638,6940,7200,7498,7750,7991,8198,8583,8891,9130,9381,9796,9985,10234,10556,10822,11154,11382,11637,11914,12121,12544,12822,13028,13304,13558,14040,14243,14628,14831,15119,15339,15520,15944,16249,16523,16746,17132,17396,17670,17863,18072,18426,18626,18877,19193,19469,19746,19946,20169,20436,20619,20861,21036,21174,21309,21442,21535,21585,21597,21605,21607
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4,6,7,7,7,7,7,7,7,7,8,9,9,9,9,11,14,14,14,16,16,22,23,23,24,25,25,27,28,29,29,32,32,34,38,41,44,45,47,47,50,53,59,62,65,71,81,87,91,96,104,109,118,122,134,138,146,153,158,166,168,172,184,189,199,211,230,240,249,256,267,279,295,311,326,335,347,364,379,397,420,442,450,470,495,520,545,565,578,596,611,640,673,690,717,746,773,797,827,854,891,938,979,1006,1046,1097,1136,1185,1249,1304,1352,1401,1458,1514,1583,1655,1707,1758,1802,1854,1919,1972,2020,2074,2095,2136,2206,2279,2342,2400,2453,2497,2542,2612,2673,2763,2858,2900,2945,2997,3070,3142,3206,3282,3344,3389,3438,3505,3571,3611,3651,3682,3704,3711,3711,3711
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,4,4,6,7,7,7,7,9,10,11,11,11,12,13,15,15,15,16,16,17,17,18,18,20,20,24,28,29,32,38,38,39,39,41,43,48,51,57,62,69,73,83,86,91,92,94,104,110,116,123,131,141,152,160,168,172,180,187,197,213,229,242,249,268,289,308,322,338,364,391,416,441,472,512,543,581,615,687,724,768,824,890,950,1002,1056,1098,1153,1213,1261,1304,1369,1425,1465,1529,1586,1646,1702,1745,1835,1930,1998,2056,2138,2216,2291,2352,2411,2488,2534,2585,2637,2682,2782,2856,2909,2973,3066,3127,3179,3246,3321,3425,3480,3544,3619,3680,3810,3895,3949,4000,4076,4149,4221,4296,4377,4432,4507,4574,4658,4731,4816,4875,4945,4989,5057,5136,5206,5302,5392,5464,5521,5610,5690,5748,5838,5936,6009,6118,6176,6226,6278,6324,6360,6381,6388,6392,6394
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,9,19,23,25,26,33,37,42,44,47,50,55,60,62,62,63,64,72,79,85,88,93,96,97,102,107,112,117,124,135,155,171,186,192,207,220,235,248,261,271,291,305,326,343,353,361,382,415,452,479,508,541,569,611,649,689,719,770,818,846,880,946,998,1057,1128,1179,1242,1270,1357,1457,1568,1725,1834,1963,2086,2257,2421,2579,2779,2937,3095,3251,3435,3639,3782,3996,4190,4421,4594,4861,5116,5463,5828,6104,6328,6583,6934,7387,7676,7997,8298,8620,8929,9208,9519,9905,10313,10689,11192,11501,11936,12327,12752,13276,13642,13983,14332,14912,15316,15812,16353,16680,17103,17459,17856,18357,18877,19481,19840,20221,20581,20983,21654,22038,22430,22811,23155,23447,23826,24337,24634,25000,25300,25595,25839,26145,26518,26861,27333,27585,27829,28105,28430,28791,29092,29430,29813,30114,30461,30755,31039,31255,31477,31598,31644,31660,31662,31662
Guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,5,8,9,12,14,16,19,22,23,26,27,28,31,31,32,34,38,43,47,52,60,70,76,84,89,102,108,120,129,137,152,155,169,176,185,198,215,240,257,276,301,338,373,394,417,446,482,520,578,613,658,706,743,779,819,872,931,997,1063,1134,1208,1299,1444,1558,1659,1815,1926,2046,2144,2241,2362,2458,2565,2692,2803,2916,3031,3141,3238,3393,3509,3621,3710,3824,3954,4060,4193,4330,4498,4607,4736,4848,4941,5079,5179,5284,5419,5558,5716,5818,5968,6091,6233,6472,6716,6957,7222,7440,7610,7860,7996,8160,8317,8432,8536,8622,8737,8887,9077,9207,9340,9465,9566,9740,9907,10052,10220,10399,10658,10795,10921,11049,11192,11377,11513,11705,11861,11994,12094,12223,12449,12630,12784,12891,13027,13127,13240,13402,13485,13602,13690,13780,13879,13963,14102,14172,14254,14365,14449,14570,14655,14699,14729,14761,14784,14791,14792,14793,14793
Hidalgo,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,7,8,8,9,9,11,13,16,17,17,23,26,28,31,35,37,42,49,54,54,55,59,60,65,73,75,80,85,92,101,108,119,125,133,148,158,178,196,231,256,275,298,325,346,377,410,439,465,495,532,560,594,639,672,708,740,794,843,906,970,1018,1085,1154,1227,1271,1324,1418,1499,1577,1630,1715,1799,1849,1959,2022,2080,2137,2199,2265,2330,2410,2478,2544,2606,2692,2768,2836,2914,2989,3084,3149,3203,3268,3315,3417,3475,3547,3632,3693,3791,3851,3921,4000,4067,4154,4228,4295,4360,4423,4500,4597,4667,4750,4807,4873,4970,5052,5127,5218,5318,5411,5497,5611,5705,5829,5946,6085,6191,6309,6480,6578,6680,6787,6901,7021,7113,7242,7359,7475,7571,7690,7842,7956,8099,8177,8306,8422,8525,8660,8772,8926,9010,9093,9188,9306,9432,9524,9651,9768,9862,9985,10073,10135,10181,10222,10246,10266,10273,10275,10275
Jalisco,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,5,6,9,12,16,22,30,39,47,49,55,67,75,75,83,93,99,105,109,113,115,123,125,129,137,142,145,154,162,166,169,175,185,193,199,205,209,216,228,241,248,263,276,284,295,315,335,352,375,396,414,433,453,472,491,523,547,582,609,656,690,715,746,767,805,848,896,933,982,1032,1081,1115,1182,1252,1332,1403,1480,1564,1653,1784,1954,2084,2221,2377,2550,2711,2857,3152,3347,3508,3677,3873,4053,4275,4515,4720,4930,5127,5297,5458,5637,5866,6056,6248,6426,6596,6837,7002,7189,7342,7517,7688,7903,8056,8243,8456,8677,8929,9116,9323,9532,9743,9996,10191,10368,10572,10835,11056,11274,11556,11794,12046,12276,12514,12770,12976,13287,13464,13646,13832,14054,14237,14465,14710,14886,15049,15217,15411,15657,15841,16083,16270,16498,16674,16873,17067,17250,17522,17724,17915,18070,18256,18435,18626,18864,19030,19194,19381,19567,19723,19853,20047,20164,20241,20301,20318,20324
